sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
145;DHT22;3528;-0.286;36.067;2021-11-13T04:41:08.538074+00:00;humidity;89
145;DHT22;3528;-0.286;36.067;2021-11-13T04:41:08.538074+00:00;temperature;16
145;DHT22;3528;-0.286;36.067;2021-11-13T04:43:48.884946+00:00;humidity;88
145;DHT22;3528;-0.286;36.067;2021-11-13T04:43:48.884946+00:00;temperature;16
144;SDS011;3528;-0.286;36.067;2021-11-13T04:43:49.008909+00:00;P2;9
144;SDS011;3528;-0.286;36.067;2021-11-13T04:43:49.008909+00:00;P1;14
144;SDS011;3528;-0.286;36.067;2021-11-13T04:46:28.788960+00:00;P2;9
144;SDS011;3528;-0.286;36.067;2021-11-13T04:46:28.788960+00:00;P1;30
145;DHT22;3528;-0.286;36.067;2021-11-13T04:46:28.789371+00:00;humidity;88
145;DHT22;3528;-0.286;36.067;2021-11-13T04:46:28.789371+00:00;temperature;16
144;SDS011;3528;-0.286;36.067;2021-11-13T04:49:09.152974+00:00;P2;9
144;SDS011;3528;-0.286;36.067;2021-11-13T04:49:09.152974+00:00;P1;24
145;DHT22;3528;-0.286;36.067;2021-11-13T04:49:09.156977+00:00;humidity;88
145;DHT22;3528;-0.286;36.067;2021-11-13T04:49:09.156977+00:00;temperature;16
144;SDS011;3528;-0.286;36.067;2021-11-13T04:51:49.118620+00:00;P2;10
144;SDS011;3528;-0.286;36.067;2021-11-13T04:51:49.118620+00:00;P1;17
145;DHT22;3528;-0.286;36.067;2021-11-13T04:51:49.120126+00:00;humidity;87
145;DHT22;3528;-0.286;36.067;2021-11-13T04:51:49.120126+00:00;temperature;16
145;DHT22;3528;-0.286;36.067;2021-11-13T04:54:29.077687+00:00;humidity;86
145;DHT22;3528;-0.286;36.067;2021-11-13T04:54:29.077687+00:00;temperature;17
144;SDS011;3528;-0.286;36.067;2021-11-13T04:54:29.246814+00:00;P2;10
144;SDS011;3528;-0.286;36.067;2021-11-13T04:54:29.246814+00:00;P1;19
144;SDS011;3528;-0.286;36.067;2021-11-13T04:57:09.513078+00:00;P2;11
144;SDS011;3528;-0.286;36.067;2021-11-13T04:57:09.513078+00:00;P1;21
145;DHT22;3528;-0.286;36.067;2021-11-13T04:57:09.517064+00:00;humidity;86
145;DHT22;3528;-0.286;36.067;2021-11-13T04:57:09.517064+00:00;temperature;17
145;DHT22;3528;-0.286;36.067;2021-11-13T04:59:51.230775+00:00;humidity;85
145;DHT22;3528;-0.286;36.067;2021-11-13T04:59:51.230775+00:00;temperature;17
144;SDS011;3528;-0.286;36.067;2021-11-13T04:59:51.429406+00:00;P2;12
144;SDS011;3528;-0.286;36.067;2021-11-13T04:59:51.429406+00:00;P1;14
144;SDS011;3528;-0.286;36.067;2021-11-13T05:02:29.657105+00:00;P2;11
144;SDS011;3528;-0.286;36.067;2021-11-13T05:02:29.657105+00:00;P1;15
145;DHT22;3528;-0.286;36.067;2021-11-13T05:02:29.661048+00:00;humidity;85
145;DHT22;3528;-0.286;36.067;2021-11-13T05:02:29.661048+00:00;temperature;17
144;SDS011;3528;-0.286;36.067;2021-11-13T05:05:09.857079+00:00;P2;14
144;SDS011;3528;-0.286;36.067;2021-11-13T05:05:09.857079+00:00;P1;19
145;DHT22;3528;-0.286;36.067;2021-11-13T05:05:09.861027+00:00;humidity;86
145;DHT22;3528;-0.286;36.067;2021-11-13T05:05:09.861027+00:00;temperature;17
144;SDS011;3528;-0.286;36.067;2021-11-13T05:07:50.449165+00:00;P2;15
144;SDS011;3528;-0.286;36.067;2021-11-13T05:07:50.449165+00:00;P1;17
